id;date;description;duree;date_debut;date_fin
1;2022-06-27;../fake-data/blob/hipster.txt;false;2022-06-26;2022-06-26
2;2022-06-27;../fake-data/blob/hipster.txt;false;2022-06-26;2022-06-26
3;2022-06-27;../fake-data/blob/hipster.txt;true;2022-06-26;2022-06-26
4;2022-06-27;../fake-data/blob/hipster.txt;true;2022-06-26;2022-06-27
5;2022-06-26;../fake-data/blob/hipster.txt;false;2022-06-27;2022-06-27
6;2022-06-26;../fake-data/blob/hipster.txt;false;2022-06-26;2022-06-26
7;2022-06-26;../fake-data/blob/hipster.txt;true;2022-06-27;2022-06-26
8;2022-06-27;../fake-data/blob/hipster.txt;false;2022-06-27;2022-06-27
9;2022-06-27;../fake-data/blob/hipster.txt;true;2022-06-26;2022-06-27
10;2022-06-26;../fake-data/blob/hipster.txt;false;2022-06-26;2022-06-26
